"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/10/2026 15:38:47:314 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","red-spawn","blue-spawn","has-seed","seed","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"159","stop sign","10","3","true","1","5000","468","157","773.8711678851439","1065.8170833831998"
"154","red light","7","3","true","1","5000","351","145","5938.513231343231","2513.9042520114485"
"144","red light","2","3","true","1","5000","86","153","1291.6609857422998","2406.149925799359"
"163","stop sign","12","3","true","1","5000","588","154","963.7297922308775","1090.7118281163737"
"165","stop sign","13","3","true","1","5000","660","166","1158.706402701556","2000.0039631310133"
"164","red light","12","3","true","1","5000","590","149","13720.31708637118","2064.090161553915"
"160","red light","10","3","true","1","5000","455","166","8610.930832579585","2693.03274764439"
"167","stop sign","14","3","true","1","5000","662","159","1394.6766812488336","1827.6775278166097"
"162","red light","11","3","true","1","5000","561","175","11909.179283141635","2791.227682847765"
"171","stop sign","16","3","true","1","5000","743","148","1695.727074588901","2914.6100784564424"
"166","red light","13","3","true","1","5000","605","142","14252.261567116515","2173.8129766073343"
"169","stop sign","15","3","true","1","5000","727","168","1633.8180157367935","1556.7902753350284"
"173","stop sign","17","3","true","1","5000","819","152","2016.7823979403993","2638.213228526001"
"170","red light","15","3","true","1","5000","664","146","15904.04723225939","2447.129552000745"
"156","red light","8","3","true","1","5000","410","166","7476.971784303006","2910.8953883998734"
"174","red light","17","3","true","1","5000","762","156","22358.469765949834","2584.8199326690255"
"177","stop sign","19","3","true","1","5000","891","138","2573.0014587310056","3860.2269454084126"
"176","red light","18","3","true","1","5000","781","139","23821.38882368744","2202.5205031158184"
"179","stop sign","20","3","true","1","5000","863","140","2165.5473579606687","2890.790008992117"
"178","red light","19","3","true","1","5000","797","139","27730.78616721348","2450.6545325465945"
"182","red light","21","3","true","1","5000","841","149","29971.19612773562","2538.8373365430693"
"183","stop sign","22","3","true","1","5000","1004","156","3224.4463767979237","6764.41653615887"
"181","stop sign","21","3","true","1","5000","934","174","2764.783532474918","5360.293346197425"
"180","red light","20","3","true","1","5000","814","153","27915.714858950418","2660.9443358766057"
"185","stop sign","23","3","true","1","5000","1036","139","3697.3388254807523","4509.196913657581"
"168","red light","14","3","true","1","5000","659","167","16068.163871712835","2543.467037571848"
"186","red light","23","3","true","1","5000","850","128","35114.4957506317","2127.6343556586344"
"184","red light","22","3","true","1","5000","839","158","31996.34839613524","2417.2304183567394"
"175","stop sign","18","3","true","1","5000","830","163","2044.9855287539299","4125.277103206209"
"191","stop sign","26","3","true","1","5000","1122","143","4552.211695263987","13619.192649001116"
"172","red light","16","3","true","1","5000","712","162","19553.452115746364","2437.601551551948"
"193","stop sign","27","3","true","1","5000","1170","137","5096.272989661725","14245.47510182718"
"189","stop sign","25","3","true","1","5000","1117","148","3986.987014345831","8983.539394018058"
"188","red light","24","3","true","1","5000","838","158","36470.296276094065","2538.7928256344526"
"192","red light","26","3","true","1","5000","855","141","37299.37333601979","1820.9100047029706"
"190","red light","25","3","true","1","5000","868","148","35733.088833122325","2244.0373214070487"
"199","stop sign","30","3","true","1","5000","1259","126","5766.900086923863","14467.388277100194"
"194","red light","27","3","true","1","5000","853","162","39613.75244055912","2677.3769655735523"
"197","stop sign","29","3","true","1","5000","1217","141","5737.516449705112","12660.71095692794"
"204","red light","32","3","true","1","5000","865","150","41538.33247830051","2656.5025839508794"
"202","red light","31","3","true","1","5000","863","148","41719.52233868428","2562.3436290614522"
"196","red light","28","3","true","1","5000","871","128","39701.750184267985","2106.9211626620204"
"195","stop sign","28","3","true","1","5000","1242","134","5444.653570226819","33949.07960699043"
"200","red light","30","3","true","1","5000","869","132","40805.392004702364","1580.4291889201374"
"187","stop sign","24","3","true","1","5000","1018","149","3513.4448434650453","4281.621467331975"
"212","red light","1","4","true","1","5000","43","177","646.9315402527175","2758.710021661878"
"205","stop sign","33","3","true","1","5000","1313","114","6722.231114040118","29271.457366014303"
"213","stop sign","2","4","true","1","5000","78","206","89.802215493951","312.11647599984616"
"206","red light","33","3","true","1","5000","873","151","42585.85594978369","2840.791837708017"
"209","stop sign","35","3","true","1","5000","1392","81","9440.622716808926","52510.49536494119"
"214","red light","2","4","true","1","5000","93","209","1428.6991817473272","3710.950619947437"
"208","red light","34","3","true","1","5000","876","147","41316.96964132337","2571.8678519947052"
"211","stop sign","1","4","true","1","5000","55","190","57.89221868653351","273.4712347451572"
"207","stop sign","34","3","true","1","5000","1353","98","6635.423412711455","64397.3109739652"
